"pval";"q2";"q1";"q3";"q1_90";"q3_90";"With_cover";"Grazing_intensity";"ID_grazing";"Stat";"Driver"
"16";0;0.274413838837852;0.124422249441017;0.417189371195068;0.148622341531274;0.394764128252295;FALSE;"binary";"Goat";"PL_expo";"Herbivores"
"17";0.084;-0.124520346130366;-0.254861977338923;0.0137343925594935;-0.237916300206264;-0.00471613106489296;FALSE;"binary";"Horse";"PL_expo";"Herbivores"
"18";0;0.268049455852453;0.139363137100051;0.39580162830564;0.156197108586209;0.373413580399975;FALSE;"binary";"Sheep";"PL_expo";"Herbivores"
"19";0;0.0932561222035768;0.0657223863180735;0.126750774776994;0.0696617179020806;0.122181875749626;FALSE;"binary";"grazed";"core_area_land";"Grazing"
"20";0;0.0316142340243436;0.0221797458353481;0.0407103590331467;0.0235861076605439;0.0392165312842633;FALSE;"binary";"all";"core_area_land";"Aridity"
"21";0;0.0223912906987662;0.0122013381340701;0.0325099296656761;0.0138060903390808;0.0312953685823185;FALSE;"binary";"all";"core_area_land";"MAT"
"22";0;-0.119558889076964;-0.149778298492174;-0.0889909728469907;-0.144454574529291;-0.0932778287217087;FALSE;"binary";"Goat";"core_area_land";"Herbivores"
"23";0.494;-0.0133967383509221;-0.0521247127438082;0.0250232079791502;-0.0445201125085076;0.0204604617876556;FALSE;"binary";"Horse";"core_area_land";"Herbivores"
"24";0.348;0.0127535031508802;-0.0114928825556507;0.0383577335371576;-0.00778820264079897;0.0343202961443959;FALSE;"binary";"Sheep";"core_area_land";"Herbivores"
"25";0.152;0.0585708703872114;-0.0183703653981453;0.142565980839299;-0.00629440778561889;0.130802217083686;FALSE;"binary";"grazed";"core_area";"Grazing"
"26";0.022;0.0404754183286324;0.00551222532972125;0.072324808957046;0.0118513480926049;0.0674347251017351;FALSE;"binary";"all";"core_area";"Aridity"
"27";0;0.115093786076908;0.0834908543443878;0.148872969049958;0.0898414647324827;0.143137955467944;FALSE;"binary";"all";"core_area";"MAT"
"28";0;-0.221970566654931;-0.308610034269003;-0.136291071538184;-0.296487599340463;-0.15123377585345;FALSE;"binary";"Goat";"core_area";"Herbivores"
"29";0;-0.520052294926749;-0.630880543908987;-0.399296323077281;-0.612670869327734;-0.421867396055424;FALSE;"binary";"Horse";"core_area";"Herbivores"
"30";0;-0.293821757876633;-0.370055280447444;-0.217759517290606;-0.359540122730378;-0.230922960954794;FALSE;"binary";"Sheep";"core_area";"Herbivores"
"31";0;-0.191949521675507;-0.272058137885019;-0.114516275455914;-0.259589617503997;-0.125323503583266;FALSE;"binary";"grazed";"Small_patches";"Grazing"
"32";0;-0.134308754180857;-0.165074227451688;-0.105190254138283;-0.160048816749552;-0.110132476109139;FALSE;"binary";"all";"Small_patches";"Aridity"
"33";0;-0.26913812602251;-0.300037504509699;-0.242456286729105;-0.29536797090392;-0.245490570710836;FALSE;"binary";"all";"Small_patches";"MAT"
"34";0;0.28223794942917;0.182991579824238;0.393050068920642;0.199498473313929;0.375723334942715;FALSE;"binary";"Goat";"Small_patches";"Herbivores"
"35";0;0.363442238317018;0.263068027221132;0.461712480782321;0.278244064230655;0.44917018443086;FALSE;"binary";"Horse";"Small_patches";"Herbivores"
"36";0.008;0.0957796540560707;0.0232884467003972;0.168533933341666;0.0309681356673373;0.156670612366551;FALSE;"binary";"Sheep";"Small_patches";"Herbivores"
"37";0;0.148321703632796;0.090827315688416;0.206091645182585;0.0982109705724532;0.196593891885607;FALSE;"binary";"grazed";"flow_length";"Grazing"
"38";0;-0.0681535736582679;-0.0866239839743734;-0.0488376615172069;-0.0834225501063747;-0.0521474953773263;FALSE;"binary";"all";"flow_length";"Aridity"
"39";0;0.166738303061582;0.147157193013667;0.187687798842141;0.150601411262767;0.183624672420701;FALSE;"binary";"all";"flow_length";"MAT"
"40";0.004;0.0817681999075513;0.0296815232005445;0.130759890130855;0.0393376580181364;0.124494392884087;FALSE;"binary";"Goat";"flow_length";"Herbivores"
"41";0.274;0.0418363025768726;-0.0289595860372272;0.112849371089106;-0.019484053047117;0.100839225302788;FALSE;"binary";"Horse";"flow_length";"Herbivores"
"42";0;0.141783370433476;0.0953017197071531;0.187844833603339;0.101713705344564;0.179723113954287;FALSE;"binary";"Sheep";"flow_length";"Herbivores"
"43";0.002;0.0791853546896472;0.0342319818186566;0.125015223882533;0.042142750628956;0.119191311764926;FALSE;"binary";"grazed";"mean_psd";"Grazing"
"44";0;-0.092606937725751;-0.115195051423569;-0.0714279220516161;-0.11067699188777;-0.075629400459941;FALSE;"binary";"all";"mean_psd";"Aridity"
"45";0;0.306332350672056;0.286597934740903;0.325558136938586;0.289967180917171;0.322454060369215;FALSE;"binary";"all";"mean_psd";"MAT"
"46";0.026;-0.0682582537637166;-0.124016639150846;-0.00676516547636186;-0.113708815200931;-0.0176699953705571;FALSE;"binary";"Goat";"mean_psd";"Herbivores"
"47";0.002;-0.132125056693107;-0.209560715886266;-0.0443458659167127;-0.198989812286174;-0.0621553191070935;FALSE;"binary";"Horse";"mean_psd";"Herbivores"
"48";0.02;0.0581143835003076;0.0109374449887228;0.101772468921091;0.0204032055889657;0.0945485725640369;FALSE;"binary";"Sheep";"mean_psd";"Herbivores"
"49";0;0.031139672943067;0.0147198733803901;0.0470213637196549;0.0167579480814072;0.0454277245045229;FALSE;"binary";"grazed";"moran_I";"Grazing"
"50";0;-0.026494897043969;-0.0319441270939821;-0.0216978353448886;-0.0309690942376004;-0.0224315119787488;FALSE;"binary";"all";"moran_I";"Aridity"
"51";0;0.0233450919863403;0.01738792241128;0.0294115583146432;0.0187027847846307;0.028762740171553;FALSE;"binary";"all";"moran_I";"MAT"
"52";0.082;0.0141381903795023;-0.00208795771649792;0.0296007612754838;0.00109342078703404;0.0269481054866139;FALSE;"binary";"Goat";"moran_I";"Herbivores"
"53";0.012;-0.0244303848953779;-0.0465325047331078;-0.00580829794889134;-0.0419928007066751;-0.00851870022793422;FALSE;"binary";"Horse";"moran_I";"Herbivores"
"54";0;0.0324396372927976;0.0195955787907996;0.0466168655765009;0.0219387935596038;0.0438930196420174;FALSE;"binary";"Sheep";"moran_I";"Herbivores"
"55";0.006;0.102551363428224;0.0275077536643515;0.176882347469399;0.0401466209198389;0.163370921802196;FALSE;"binary";"grazed";"Struct1";"Grazing"
"56";0;-0.11040669633691;-0.13390322375022;-0.086783198256896;-0.129655330420813;-0.0904759124760557;FALSE;"binary";"all";"Struct1";"Aridity"
"57";0;0.223518547772542;0.197162519204956;0.249035051563725;0.20169440235295;0.244301078004365;FALSE;"binary";"all";"Struct1";"MAT"
"58";0.808;-0.00954886447816109;-0.0829284130310159;0.0630514205273298;-0.0699912639769313;0.0539299503688293;FALSE;"binary";"Goat";"Struct1";"Herbivores"
"59";0;-0.227576303792083;-0.319854635456287;-0.129419131262957;-0.304410556099282;-0.148214977566896;FALSE;"binary";"Horse";"Struct1";"Herbivores"
"60";0;0.127170189529828;0.0663200511965894;0.190640464197334;0.0771981763599178;0.18252743353704;FALSE;"binary";"Sheep";"Struct1";"Herbivores"
"61";0.006;-0.122317069135686;-0.201555999781183;-0.0389133377754258;-0.186398956363216;-0.0547021570146678;FALSE;"binary";"grazed";"Struct2";"Grazing"
