"g0";"b";"Branch";"Cover"
"201";0.00612244897959184;0.816326530612245;"Degradation";0.664
"211";0.00612244897959184;0.795918367346939;"Restoration";0.653
"221";0.00612244897959184;0.795918367346939;"Degradation";0.653
"231";0.00612244897959184;0.775510204081633;"Restoration";0.64
"241";0.00612244897959184;0.775510204081633;"Degradation";0.64
"251";0.00612244897959184;0.755102040816326;"Restoration";0.627
"261";0.00612244897959184;0.755102040816326;"Degradation";0.627
"271";0.00612244897959184;0.73469387755102;"Restoration";0.613
"281";0.00612244897959184;0.73469387755102;"Degradation";0.613
"291";0.00612244897959184;0.714285714285714;"Restoration";0.598
"301";0.00612244897959184;0.714285714285714;"Degradation";0.598
"311";0.00612244897959184;0.693877551020408;"Restoration";0.582
"321";0.00612244897959184;0.693877551020408;"Degradation";0.582
"331";0.00612244897959184;0.673469387755102;"Restoration";0.564
"341";0.00612244897959184;0.673469387755102;"Degradation";0.564
"351";0.00612244897959184;0.653061224489796;"Restoration";0.545
"361";0.00612244897959184;0.653061224489796;"Degradation";0.545
"371";0.00612244897959184;0.63265306122449;"Restoration";0.524
"381";0.00612244897959184;0.63265306122449;"Degradation";0.524
"391";0.00612244897959184;0.612244897959184;"Restoration";0.501
"401";0.00612244897959184;0.612244897959184;"Degradation";0.501
"411";0.00612244897959184;0.591836734693878;"Restoration";0.476
"421";0.00612244897959184;0.591836734693878;"Degradation";0.476
"431";0.00612244897959184;0.571428571428571;"Restoration";0.448
"441";0.00612244897959184;0.571428571428571;"Degradation";0.448
"451";0.00612244897959184;0.551020408163265;"Restoration";0.416
"461";0.00612244897959184;0.551020408163265;"Degradation";0.416
"471";0.00612244897959184;0.530612244897959;"Restoration";0.379
"481";0.00612244897959184;0.530612244897959;"Degradation";0.379
"491";0.00612244897959184;0.510204081632653;"Restoration";0.334
"501";0.00612244897959184;0.510204081632653;"Degradation";0.334
"511";0.00612244897959184;0.489795918367347;"Restoration";0
"521";0.00612244897959184;0.489795918367347;"Degradation";0.274
"531";0.00612244897959184;0.469387755102041;"Restoration";0
"541";0.00612244897959184;0.469387755102041;"Degradation";0.099
"551";0.00612244897959184;0.448979591836735;"Restoration";0
"561";0.00612244897959184;0.448979591836735;"Degradation";0
"571";0.00612244897959184;0.428571428571429;"Restoration";0
"581";0.285714285714286;0;"Degradation";0
"591";0.00612244897959184;0.408163265306122;"Restoration";0
"601";0.295918367346939;0;"Degradation";0
"611";0.00612244897959184;0.387755102040816;"Restoration";0
"621";0.306122448979592;0;"Degradation";0
"631";0.00612244897959184;0.36734693877551;"Restoration";0
"641";0.316326530612245;0;"Degradation";0
"651";0.00612244897959184;0.346938775510204;"Restoration";0
"661";0.326530612244898;0;"Degradation";0
"671";0.00612244897959184;0.326530612244898;"Restoration";0
"681";0.336734693877551;0;"Degradation";0
"691";0.00612244897959184;0.306122448979592;"Restoration";0
"701";0.346938775510204;0;"Degradation";0
"711";0.00612244897959184;0.285714285714286;"Restoration";0
"721";0.357142857142857;0;"Degradation";0
"731";0.00612244897959184;0.26530612244898;"Restoration";0
"741";0.36734693877551;0;"Degradation";0
"751";0.00612244897959184;0.244897959183673;"Restoration";0
"761";0.377551020408163;0;"Degradation";0
"771";0.00612244897959184;0.224489795918367;"Restoration";0
"781";0.387755102040816;0;"Degradation";0
"791";0.00612244897959184;0.204081632653061;"Restoration";0
"801";0.397959183673469;0;"Degradation";0
"811";0.00612244897959184;0.183673469387755;"Restoration";0
"821";0.408163265306122;0;"Degradation";0
"831";0.00612244897959184;0.163265306122449;"Restoration";0
"841";0.418367346938775;0;"Degradation";0
"851";0.00612244897959184;0.142857142857143;"Restoration";0
"861";0.428571428571429;0;"Degradation";0
"871";0.00612244897959184;0.122448979591837;"Restoration";0
"881";0.438775510204082;0;"Degradation";0
"891";0.00612244897959184;0.102040816326531;"Restoration";0
"901";0.448979591836735;0;"Degradation";0
"911";0.00612244897959184;0.0816326530612245;"Restoration";0
"921";0.459183673469388;0;"Degradation";0
"931";0.00612244897959184;0.0612244897959184;"Restoration";0
"941";0.469387755102041;0;"Degradation";0
"951";0.00612244897959184;0.0408163265306122;"Restoration";0
"961";0.479591836734694;0;"Degradation";0
"971";0.00612244897959184;0.0204081632653061;"Restoration";0
"981";0.489795918367347;0;"Degradation";0
"991";0.00612244897959184;0;"Restoration";0
"1001";0.5;0;"Degradation";0
"112";0.0122448979591837;1;"Restoration";0.747
"212";0.0122448979591837;1;"Degradation";0.747
"312";0.0122448979591837;0.979591836734694;"Restoration";0.74
"412";0.0122448979591837;0.979591836734694;"Degradation";0.74
"512";0.0122448979591837;0.959183673469388;"Restoration";0.733
"612";0.0122448979591837;0.959183673469388;"Degradation";0.733
"712";0.0122448979591837;0.938775510204082;"Restoration";0.726
"812";0.0122448979591837;0.938775510204082;"Degradation";0.726
