"rho_p";"nb_neigh";"clustering";"skewness";"variance";"moran_I";"Spectral_ratio";"PLR";"PL_expo";"cv_psd";"fmax_psd";"cutoff";"slope_tpl";"flow_length";"perim_area_scaling";"mean_perim_area";"mean_psd";"median_psd";"Small_patches";"sd_psd";"KS_dist";"core_area";"core_area_land";"division";"fractal_dim";"contig";"Shape_metric";"Cond_H";"Shannon_H";"Joint_H";"mutual_inf";"relat_mutual_inf";"Full_name";"Resolution";"Site_ID";"Sub_id";"Grazing";"Aridity";"Slope";"Elevation";"Sp_richness";"Lattitude";"Longitude";"Type_veg";"Herbivores";"Sand";"Long_sin";"Long_cos";"Org_C_v";"ID";"MAT"
"110";0.514106443574226;3.60763438068034;1.94837720763501;0.00168149582788325;0.163584242604921;0.560863857315617;5.73046672944949;0.726509885141736;1.28492434984743;4.54003731352096;-1.65057333461447;1.49011611938477e-08;1.26116659846448;1.11021837654648;1.34341584153089;318.064145515943;0.00528695445247324;0.000369533084079645;7;0.0240980768403114;0.528323464645082;28.8843279517084;36.2924963046692;0.942757143802914;0.86425827031691;0.587644710280699;0.113290949528416;0.456234632615793;0.999985961623416;1.45622059423921;0.543751329007623;0.543758962500709;"biodesert_50_102_2";0.23311606679924;30;2;1;0.7477;6.0011;1182;6;38.56694;109.5961;"2";"Sheep";88.44;0.351939979266451;-0.936022569703279;2.510074;102;7.9
"111";0.376586330046495;3.44900393653823;2.21469343706479;0.532725145083718;0.1435388172951;0.506011999677014;5.37336479054769;0.45005605781666;NA;4.1144263991751;-2.37614049125634;NA;NA;1.7130238403228;1.34487017991708;326.616777100168;0.00252533658477071;0.000458645467053967;21;0.00978793248730491;0.595893926911358;30.2583144974005;22.8602004935899;0.985279566272225;0.881317302320316;0.58293513964953;0.0759272131903123;0.461120847066023;0.947442992830677;1.4085638398967;0.486322145764654;0.513299638547823;"biodesert_50_102_3";0.233667821575325;30;3;1;0.7477;6.0011;1182;6;38.56694;109.5961;"2";"Sheep";88.44;0.351939979266451;-0.936022569703279;2.510074;102;7.9
"112";0.492212531149875;3.57662055871983;1.98326305845538;0.0747831178786062;0.156773699220566;0.492347129532342;5.58627146978826;0.692460110567861;1.22168409188471;3.40737069746466;-1.93095857550296;1.49011611938477e-08;1.22168409188471;1.19604257866982;1.37233444678936;281.063018612525;0.00572465748320022;0.000586905486479437;9;0.0194063246736661;0.594468152732281;37.4993213564936;33.7622815407356;0.965988925623605;0.835389852476045;0.638768669040969;0.133152888361675;0.469676502756535;0.998940079329554;1.46861658208609;0.529263576573019;0.529825149200378;"biodesert_50_103_1";0.23311606679924;30;1;0;0.7472;3.8891;1198;10;38.58506;109.62194;"2";"Sheep";91.44;0.327638357978434;-0.944803210399497;1.336163;103;7.8
"113";0.431448024207903;3.4983239647259;2.09289221604208;0.300502649617842;0.147055580759563;0.453798748580467;5.26036179757182;0.507719055489772;1.25380104530531;2.9316833069496;-2.38581738769155;0.000371113344989012;1.25380104530531;1.33200221902692;1.36014448058317;256.115508166511;0.00345497397945439;0.000695591687679332;10;0.00978463255012128;0.651825343025862;39.3249523886667;27.6671593774454;0.98695928175471;0.861803371464914;0.667512398376191;0.0937234075155261;0.479094856134633;0.982289840611083;1.46138469674572;0.50319498447645;0.512267320369935;"biodesert_50_103_2";0.23311606679924;30;2;0;0.7472;3.8891;1198;10;38.58506;109.62194;"2";"Sheep";91.44;0.327638357978434;-0.944803210399497;1.336163;103;7.8
"114";0.51896857662676;3.59108418091322;1.93436610080944;-0.0204762254524376;0.156369732005837;0.48444938377728;5.32967664719388;0.467553278737932;1.21940727522292;5.86199344501177;-1.16507022556359;1.49011611938477e-08;1.21940727522292;0.965764993082174;1.35202418718246;257.772640949518;0.00646947711616723;0.000895450673772032;8;0.0361947367821035;0.594158016158336;41.2078150555861;35.8071068207133;0.895860836789901;0.835016459518647;0.668289702183782;0.14430364009939;0.472885239112566;0.999935030720684;1.47282026983325;0.527049791608118;0.527084035878068;"biodesert_50_103_3";0.233667821575325;30;3;0;0.7472;3.8891;1198;10;38.58506;109.62194;"2";"Sheep";91.44;0.327638357978434;-0.944803210399497;1.336163;103;7.8
"115";0.526872308392563;3.29239766081871;1.83241313050231;-0.149496976411854;0.104173915368166;0.418982234862063;4.4610839908906;0.68934442387938;1.48088045670637;9.72650403154222;-0.949758792537986;1.49011611938477e-08;1.47479365100351;0.879883479347091;1.44530048432602;414.395167919919;0.00452998677850749;0.000140884756269372;49;0.038290860853184;0.209704410577793;10.238365915838;27.5641025641026;0.82752102582919;0.857091369649722;0.344670796730031;0.137075750241431;0.690578578247185;0.997398240428803;1.68797681867599;0.306819662181619;0.307620015501241;"biodesert_50_126_1";0.296737211465561;38;1;2;0.4602;24.6255;1376;3;-3.4077;-79.31464;"2";"Horse";68.56;0.699590083645325;-0.714544410701762;5.411817;126;21.8
"116";0.475473547844963;3.29668630338733;1.93636184222035;0.0978576702657326;0.126101886783618;0.564485087333629;5.20243519758022;0.652326352645208;1.32540871808317;8.68433385983079;-1.49702287949687;0.00123105960370618;1.32540871808317;1.3260508910237;1.39650502009326;396.826606462963;0.0022350642408155;0.000176105945336715;78;0.0175366761652713;0.21047968805005;11.8614739590729;25.8805297266836;0.933426003070486;0.904441613229181;0.370831689012438;0.0671731440737551;0.646783565774274;0.998610513627412;1.64539407940169;0.351826947853139;0.3523164868104;"biodesert_50_126_2";0.296737211465561;38;2;2;0.4602;24.6255;1376;3;-3.4077;-79.31464;"2";"Horse";68.56;0.699590083645325;-0.714544410701762;5.411817;126;21.8
"117";0.551339285714286;3.39425486793908;1.81748915345646;-0.19063552818477;0.120565863407544;0.513118584799063;4.9590936435494;0.666587922816452;1.45576265528697;10.1738665958236;-0.843666894193029;1.49011611938477e-08;1.4486257895742;0.951782659418232;1.39762558665075;399.09698805398;0.00441071428571429;0.000177154195011338;46;0.0419492133635534;0.2361854818321;10.8516595079555;32.3270975056689;0.77936087371043;0.870191552713847;0.364521505286571;0.114880952380952;0.644412122609901;0.992451537169602;1.6368636597795;0.348039414559701;0.35068655901555;"biodesert_50_126_3";0.297619047619048;38;3;2;0.4602;24.6255;1376;3;-3.4077;-79.31464;"2";"Horse";68.56;0.699590083645325;-0.714544410701762;5.411817;126;21.8
"118";0.654844018066594;3.6546008661712;1.71934509715996;-0.613895009073472;0.141282932392091;0.710229598236992;5.3796791904637;1;1.47519836835366;10.4907423097731;-0.535795459284765;1.49011611938477e-08;1.46889056557389;0.963115568261883;1.37749106208478;401.302747070083;0.0067509692584185;0.000175063898322888;41;0.0598781054047735;0.383664038679569;11.0668233202204;49.3400091033227;0.651381967505917;0.837390816301879;0.364198709606658;0.102604770328799;0.49300881236511;0.929645616057797;1.42265442842291;0.436636803692688;0.469680915125771;"biodesert_50_127_1";0.29585798816568;38;1;1;0.636;8.3538;1653;3;-3.415;-79.33001;"2";NA;43.44;0.710489565959536;-0.703707735258488;8.167987;127;19.9
"119";0.576495181405896;3.5240612132014;1.81040237596524;-0.27780979153166;0.140737003805469;0.62348613635612;5.44860503750211;0.775955030155846;1.50611647508683;9.09897319058794;-0.966570099595055;1.49011611938477e-08;1.50087658274943;0.950968645516695;1.39604430573584;411.215959013697;0.0045393321370543;0.00014172335600907;49;0.0360415693365047;0.252234838454862;9.93112498739942;38.7259070294785;0.83370976214619;0.884302786231029;0.346181588049442;0.093714848143982;0.568711719144918;0.983158841486995;1.55187056063191;0.414447122342077;0.421546452977262;"biodesert_50_127_2";0.297619047619048;38;2;1;0.636;8.3538;1653;3;-3.415;-79.33001;"2";NA;43.44;0.710489565959536;-0.703707735258488;8.167987;127;19.9
